CMDLINE python3 main.py
MEM 25381.539062 1707719564.3607
MEM 25381.539062 1707719564.4611
MEM 25381.539062 1707719564.5615
MEM 25383.519531 1707719564.6618
MEM 25383.519531 1707719564.7621
MEM 25383.519531 1707719564.8625
MEM 25383.519531 1707719564.9628
MEM 25383.519531 1707719565.0632
MEM 25383.519531 1707719565.1636
MEM 25383.519531 1707719565.2639
MEM 25383.519531 1707719565.3643
MEM 25383.519531 1707719565.4646
MEM 25383.519531 1707719565.5649
MEM 25383.519531 1707719565.6653
MEM 25383.519531 1707719565.7656
MEM 25383.519531 1707719565.8659
MEM 25383.519531 1707719565.9663
MEM 25383.519531 1707719566.0667
MEM 25383.519531 1707719566.1671
MEM 25383.519531 1707719566.2674
MEM 25383.519531 1707719566.3677
MEM 25383.519531 1707719566.4680
MEM 25383.519531 1707719566.5684
MEM 25383.519531 1707719566.6688
MEM 25383.519531 1707719566.7691
MEM 25383.519531 1707719566.8694
MEM 25383.519531 1707719566.9698
MEM 25383.519531 1707719567.0701
MEM 25383.519531 1707719567.1705
MEM 25383.519531 1707719567.2708
MEM 25383.519531 1707719567.3712
MEM 25383.519531 1707719567.4716
MEM 25385.515625 1707719567.5719
MEM 25385.515625 1707719567.6723
MEM 25385.515625 1707719567.7727
MEM 25385.515625 1707719567.8731
MEM 25385.515625 1707719567.9734
MEM 25385.515625 1707719568.0737
MEM 25385.515625 1707719568.1740
MEM 25385.515625 1707719568.2744
MEM 25385.515625 1707719568.3748
MEM 25385.515625 1707719568.4751
MEM 25385.515625 1707719568.5754
MEM 25385.515625 1707719568.6758
MEM 25385.515625 1707719568.7762
MEM 25385.515625 1707719568.8766
MEM 25385.515625 1707719568.9769
MEM 25385.515625 1707719569.0772
MEM 25385.515625 1707719569.1776
MEM 25385.515625 1707719569.2780
MEM 25385.515625 1707719569.3783
MEM 25385.515625 1707719569.4787
MEM 25385.515625 1707719569.5791
MEM 25385.515625 1707719569.6794
MEM 25385.515625 1707719569.7798
MEM 25385.515625 1707719569.8801
MEM 25385.515625 1707719569.9805
MEM 25385.515625 1707719570.0809
MEM 25385.515625 1707719570.1812
MEM 25385.515625 1707719570.2816
MEM 25385.515625 1707719570.3819
MEM 25385.515625 1707719570.4823
MEM 25387.562500 1707719570.5826
MEM 25387.562500 1707719570.6829
MEM 25387.562500 1707719570.7833
MEM 25387.562500 1707719570.8836
MEM 25387.562500 1707719570.9840
MEM 25387.562500 1707719571.0844
MEM 25387.562500 1707719571.1847
MEM 25387.562500 1707719571.2851
MEM 25387.562500 1707719571.3855
MEM 25387.562500 1707719571.4859
MEM 25387.562500 1707719571.5863
MEM 25387.562500 1707719571.6866
MEM 25387.562500 1707719571.7869
MEM 25387.562500 1707719571.8873
MEM 25387.562500 1707719571.9877
MEM 25387.562500 1707719572.0881
MEM 25387.562500 1707719572.1885
MEM 25387.562500 1707719572.2888
MEM 25387.562500 1707719572.3892
MEM 25387.562500 1707719572.4896
MEM 25387.562500 1707719572.5899
MEM 25387.562500 1707719572.6903
MEM 25387.562500 1707719572.7906
MEM 25387.562500 1707719572.8910
MEM 25387.562500 1707719572.9913
MEM 25387.562500 1707719573.0918
MEM 25387.562500 1707719573.1922
MEM 25387.562500 1707719573.2925
MEM 25387.562500 1707719573.3929
MEM 25389.558594 1707719573.4933
MEM 25389.558594 1707719573.5936
MEM 25389.558594 1707719573.6940
MEM 25389.558594 1707719573.7944
MEM 25389.558594 1707719573.8947
MEM 25389.558594 1707719573.9951
MEM 25389.558594 1707719574.0956
MEM 25389.558594 1707719574.1960
MEM 25389.558594 1707719574.2964
MEM 25389.558594 1707719574.3967
MEM 25389.558594 1707719574.4970
MEM 25389.558594 1707719574.5974
MEM 25389.558594 1707719574.6977
MEM 25389.558594 1707719574.7981
MEM 25389.558594 1707719574.8984
MEM 25389.558594 1707719574.9988
MEM 25389.558594 1707719575.0991
MEM 25389.558594 1707719575.1995
MEM 25389.558594 1707719575.2999
MEM 25389.558594 1707719575.4002
MEM 25389.558594 1707719575.5006
MEM 25389.558594 1707719575.6009
MEM 25389.558594 1707719575.7013
MEM 25389.558594 1707719575.8016
MEM 25389.558594 1707719575.9020
MEM 25389.558594 1707719576.0023
MEM 25389.558594 1707719576.1027
MEM 25389.558594 1707719576.2030
MEM 25389.558594 1707719576.3034
MEM 25391.507812 1707719576.4037
MEM 25391.507812 1707719576.5040
MEM 25391.507812 1707719576.6044
MEM 25391.507812 1707719576.7047
MEM 25391.507812 1707719576.8051
MEM 25391.507812 1707719576.9054
MEM 25391.507812 1707719577.0058
MEM 25391.507812 1707719577.1061
MEM 25391.507812 1707719577.2065
MEM 25391.507812 1707719577.3068
MEM 25391.507812 1707719577.4071
MEM 25391.507812 1707719577.5075
MEM 25391.507812 1707719577.6079
MEM 25391.507812 1707719577.7083
MEM 25391.507812 1707719577.8086
MEM 25391.507812 1707719577.9090
MEM 25391.507812 1707719578.0093
MEM 25391.507812 1707719578.1097
MEM 25391.507812 1707719578.2101
MEM 25391.507812 1707719578.3104
MEM 25393.238281 1707719578.4108
MEM 25393.238281 1707719578.5112
MEM 25393.238281 1707719578.6116
MEM 25395.468750 1707719578.7119
MEM 25395.468750 1707719578.8123
MEM 25395.468750 1707719578.9126
MEM 25395.562500 1707719579.0130
MEM 25395.562500 1707719579.1133
MEM 25395.562500 1707719579.2137
MEM 25395.550781 1707719579.3140
MEM 25395.550781 1707719579.4144
MEM 25395.550781 1707719579.5148
MEM 25397.660156 1707719579.6151
MEM 25397.660156 1707719579.7155
MEM 25397.660156 1707719579.8158
MEM 25397.656250 1707719579.9162
MEM 25397.656250 1707719580.0165
MEM 25397.656250 1707719580.1169
MEM 25397.664062 1707719580.2173
MEM 25397.664062 1707719580.3177
MEM 25397.664062 1707719580.4180
MEM 25397.687500 1707719580.5184
MEM 25397.687500 1707719580.6187
MEM 25397.687500 1707719580.7190
MEM 25400.183594 1707719580.8194
MEM 25400.183594 1707719580.9197
MEM 25400.292969 1707719581.0201
MEM 25400.292969 1707719581.1205
MEM 25400.292969 1707719581.2209
MEM 25400.792969 1707719581.3212
MEM 25400.792969 1707719581.4216
MEM 25400.792969 1707719581.5220
MEM 25400.792969 1707719581.6223
MEM 25400.792969 1707719581.7227
MEM 25400.792969 1707719581.8231
MEM 25400.792969 1707719581.9235
MEM 25400.792969 1707719582.0239
MEM 25400.792969 1707719582.1242
MEM 25400.882812 1707719582.2246
MEM 25400.882812 1707719582.3250
MEM 25400.882812 1707719582.4253
MEM 25400.882812 1707719582.5257
MEM 25400.882812 1707719582.6261
MEM 25400.882812 1707719582.7265
MEM 25400.140625 1707719582.8269
MEM 25400.140625 1707719582.9272
MEM 25400.140625 1707719583.0275
MEM 25400.226562 1707719583.1279
MEM 25400.226562 1707719583.2282
MEM 25400.976562 1707719583.3286
MEM 25400.976562 1707719583.4289
MEM 25400.976562 1707719583.5293
MEM 25400.976562 1707719583.6296
MEM 25400.976562 1707719583.7300
MEM 25400.976562 1707719583.8303
MEM 25400.976562 1707719583.9306
MEM 25400.976562 1707719584.0310
MEM 25400.976562 1707719584.1313
